gene	length	CF1	CF2	CH1	CH2
ENSGALG00000017234	2470	75	78	63	97
ENSGALG00000019053	615	2	4	5	1
ENSGALG00000017237	2627	6	2	3	1
ENSGALG00000017239	2042	1295	1340	1218	1169
ENSGALG00000028018	4262	45	48	39	34
ENSGALG00000025285	95	0	0	0	0
ENSGALG00000017242	3759	1508	1443	1774	1606
ENSGALG00000017244	1120	121	113	102	125
ENSGALG00000022713	902	35	22	46	56
ENSGALG00000017247	3723	739	849	774	835
ENSGALG00000000071	1476	104	110	98	121
ENSGALG00000017248	1171	478	493	514	475
ENSGALG00000017250	2267	14	21	19	21
ENSGALG00000017251	3270	933	966	898	879
ENSGALG00000025381	98	0	0	0	0
ENSGALG00000014066	983	643	637	663	629
ENSGALG00000014070	1276	1	1	3	1
ENSGALG00000014079	5595	132	127	189	197
ENSGALG00000013247	1371	28	40	46	33
ENSGALG00000013256	2051	1280	1278	1184	1151
ENSGALG00000014060	1582	1036	1114	1103	1097
ENSGALG00000027130	1370	2	2	3	3
ENSGALG00000001823	840	1189	1271	1137	1097
ENSGALG00000000188	1382	0	0	0	0
ENSGALG00000026615	140	0	0	0	0
ENSGALG00000017268	784	6	15	14	11
ENSGALG00000019042	2015	1067	1032	1014	1011
ENSGALG00000029172	954	930	978	867	950
ENSGALG00000027901	409	0	0	0	0
ENSGALG00000028911	700	0	1	0	1
ENSGALG00000017267	797	1	1	0	0
ENSGALG00000017266	1042	1	5	0	4
ENSGALG00000000091	3676	1826	1833	1833	1696
ENSGALG00000027073	1530	185	212	165	204
ENSGALG00000008574	1667	2841	2898	2682	2688
ENSGALG00000001614	1507	22	25	22	40
ENSGALG00000000690	2668	31	35	118	113
ENSGALG00000000750	6135	469	487	298	286
ENSGALG00000000761	1060	783	763	699	669
ENSGALG00000000808	3349	0	10	4	2
ENSGALG00000000818	2015	43	53	44	73
ENSGALG00000000830	3945	1066	1086	1045	1078
ENSGALG00000028556	179	2	3	6	5
ENSGALG00000000839	2938	56	53	62	72
ENSGALG00000000845	2446	175	193	186	174
ENSGALG00000006443	898	0	1	1	1
ENSGALG00000027166	3232	0	0	0	1
ENSGALG00000028988	906	0	0	0	0
ENSGALG00000022707	684	0	0	0	0
ENSGALG00000000871	3094	3	2	3	0
ENSGALG00000000868	1203	315	322	327	334
ENSGALG00000017493	1196	292	341	253	298
ENSGALG00000001258	13095	4270	4580	4193	4184
ENSGALG00000017333	2091	876	881	809	777
ENSGALG00000017334	9878	1824	2106	1755	1747
ENSGALG00000025438	81	50	61	44	39
ENSGALG00000022706	836	558	619	554	581
ENSGALG00000017335	3818	1784	1984	1650	1829
ENSGALG00000028679	877	342	370	373	338
ENSGALG00000017336	2258	529	526	544	506
ENSGALG00000017337	1568	616	687	597	656
ENSGALG00000022586	1286	9	7	6	6
ENSGALG00000029159	1438	395	431	362	374
ENSGALG00000026910	1460	331	381	310	360
ENSGALG00000027913	4974	11	5	6	10
ENSGALG00000022704	1557	13	5	10	6
ENSGALG00000003416	2903	473	605	527	536
ENSGALG00000017299	820	9829	10334	9450	9632
ENSGALG00000021748	93	27	22	19	16
ENSGALG00000021766	92	26	39	29	34
ENSGALG00000017341	994	0	0	0	0
ENSGALG00000028406	1408	0	0	0	1
ENSGALG00000017342	961	0	0	1	1
ENSGALG00000026571	904	0	0	0	0
ENSGALG00000017343	3204	0	0	2	0
ENSGALG00000026478	920	0	0	0	0
ENSGALG00000017345	893	6958	8964	6578	8142
ENSGALG00000022703	1314	8	6	5	2
ENSGALG00000017347	1273	3810	4906	3521	4794
ENSGALG00000028873	795	0	0	0	0
ENSGALG00000019030	923	2	0	0	0
ENSGALG00000029040	967	0	1	0	0
ENSGALG00000017350	5641	8778	9191	8493	8487
ENSGALG00000027982	1775	0	1	0	0
ENSGALG00000025980	150	0	0	0	0
ENSGALG00000017351	1979	426	442	433	475
ENSGALG00000026995	601	44	50	39	43
ENSGALG00000013552	6539	3619	3693	3609	3409
ENSGALG00000022702	1364	0	0	1	1
ENSGALG00000012603	746	2	0	0	0
ENSGALG00000018767	846	0	0	0	0
ENSGALG00000009116	938	0	0	0	0
ENSGALG00000028491	437	0	0	1	0
ENSGALG00000009114	1452	31	25	24	23
ENSGALG00000007441	1386	104	95	89	90
ENSGALG00000017332	2031	3	2	2	2
ENSGALG00000025426	81	0	0	0	0
ENSGALG00000011214	3301	9903	9010	9694	8578
ENSGALG00000017330	1917	19531	21465	19160	19406
ENSGALG00000025564	138	3	2	1	0
ENSGALG00000017818	149	2	1	0	1
ENSGALG00000017817	146	2	7	2	3
ENSGALG00000025198	95	0	0	0	0
ENSGALG00000017328	995	18	17	15	11
ENSGALG00000017327	1164	12	12	16	22
ENSGALG00000019033	1631	456	535	516	540
ENSGALG00000017324	344	101	131	122	100
ENSGALG00000017322	722	0	2	8	2
ENSGALG00000017321	2231	497	525	494	474
ENSGALG00000017319	1036	1053	1161	1036	1146
ENSGALG00000017318	1384	313	378	307	300
ENSGALG00000017317	1073	20	18	25	18
ENSGALG00000017316	1547	15	13	26	24
ENSGALG00000017314	7583	529	601	582	534
ENSGALG00000017311	1859	370	468	301	326
ENSGALG00000028960	2169	232	232	264	223
ENSGALG00000019036	606	1327	1500	1306	1357
ENSGALG00000017310	2336	5	6	3	9
ENSGALG00000017309	1793	148	139	137	130
ENSGALG00000017308	1604	6	7	11	5
ENSGALG00000022696	836	18	13	5	13
ENSGALG00000017304	2044	413	430	351	273
ENSGALG00000022694	535	160	196	149	141
ENSGALG00000022693	1158	9	10	4	9
ENSGALG00000017302	4221	15	15	16	23
ENSGALG00000017301	6406	13	17	17	21
ENSGALG00000012843	1236	679	743	653	629
ENSGALG00000016123	3667	417	462	497	381
ENSGALG00000007721	17050	2539	2613	2530	2280
ENSGALG00000011126	6827	153	171	193	181
ENSGALG00000012954	6278	1703	1817	1627	1519
ENSGALG00000013135	3495	3857	3780	4202	3923
ENSGALG00000014836	2805	427	410	382	385
ENSGALG00000026505	5904	1027	1017	741	850
ENSGALG00000005188	6314	576	554	546	560
ENSGALG00000004754	26828	12	12	13	14
ENSGALG00000006219	4976	1980	2024	1902	1848
ENSGALG00000006525	8409	1242	1196	1317	1058
ENSGALG00000006797	5339	95	76	155	152
ENSGALG00000007928	6884	1596	1683	1699	1665
ENSGALG00000026391	1054	0	1	0	1
ENSGALG00000008720	1306	1031	1046	971	1002
ENSGALG00000009062	4237	1274	1362	1266	1088
ENSGALG00000009482	2239	0	1	0	2
ENSGALG00000009722	1976	130	147	112	118
ENSGALG00000010714	7011	2882	2920	2734	2514
ENSGALG00000010854	3520	273	335	241	258
ENSGALG00000011226	3280	686	675	707	677
ENSGALG00000011286	1537	1853	1924	1705	1743
ENSGALG00000011314	3781	173	139	42	14
ENSGALG00000011439	1534	276	331	187	185
ENSGALG00000011905	3257	23379	24347	23724	24057
ENSGALG00000011973	1883	1	3	26	12
ENSGALG00000012093	3676	446	488	464	422
ENSGALG00000012184	2596	50	51	50	61
ENSGALG00000012329	9335	1959	2163	2166	2117
ENSGALG00000012363	12427	403	356	535	500
ENSGALG00000012497	11226	929	1015	859	773
ENSGALG00000012923	2956	5	3	2	2
ENSGALG00000012941	7275	3	0	2	0
ENSGALG00000012942	7538	48	54	25	25
ENSGALG00000014502	686	105	128	112	122
ENSGALG00000013061	3575	1000	1065	1050	957
ENSGALG00000013094	2351	5	3	5	1
ENSGALG00000013149	4348	21	23	23	17
ENSGALG00000013200	5774	59	68	29	26
ENSGALG00000013438	3259	3241	3478	3232	3261
ENSGALG00000013624	3268	59	55	69	59
ENSGALG00000013889	1360	1490	1566	1438	1319
ENSGALG00000014910	2629	833	827	1009	980
ENSGALG00000015034	906	5	7	10	9
ENSGALG00000027377	3917	330	319	226	203
ENSGALG00000015564	5173	410	460	404	373
ENSGALG00000022789	6034	351	390	348	412
ENSGALG00000016029	13954	1145	1093	1144	971
ENSGALG00000016083	6787	272	233	74	59
ENSGALG00000016111	13780	32	31	35	18
ENSGALG00000026222	989	429	458	458	482
ENSGALG00000016413	5676	147	147	126	118
ENSGALG00000019420	1069	475	495	453	452
ENSGALG00000016298	3807	21	10	5	5
ENSGALG00000016216	2864	346	344	266	303
ENSGALG00000016161	1114	179	197	186	169
ENSGALG00000013354	4531	4009	4356	3994	4057
ENSGALG00000004898	2309	698	798	713	804
ENSGALG00000005048	4013	12433	13182	12266	12448
ENSGALG00000005072	5287	2086	2254	1993	2043
ENSGALG00000005223	3472	83	77	122	108
ENSGALG00000005393	2032	2571	2637	2510	2448
ENSGALG00000005396	2745	43	48	45	52
ENSGALG00000005401	1215	6	2	11	14
ENSGALG00000005443	676	0	0	0	0
ENSGALG00000005476	1781	7	11	29	29
ENSGALG00000005517	4691	69	85	59	83
ENSGALG00000005763	3270	349	327	319	261
ENSGALG00000005884	3735	554	622	564	575
ENSGALG00000005979	5349	2658	2621	2562	2562
ENSGALG00000006072	5947	0	4	2	2
ENSGALG00000006112	9744	24	20	12	6
ENSGALG00000006173	1393	177	208	215	242
ENSGALG00000006264	18590	2411	2396	2451	2002
ENSGALG00000006314	4649	79	86	66	87
ENSGALG00000006372	3463	1455	1539	1416	1472
ENSGALG00000026913	522	0	3	6	3
ENSGALG00000006437	4188	554	595	481	524
ENSGALG00000006498	6219	482	503	192	171
ENSGALG00000006558	7481	371	339	334	352
ENSGALG00000006599	4857	1389	1308	1333	1189
ENSGALG00000006652	9077	647	659	623	582
ENSGALG00000007036	3129	1595	1716	1472	1522
ENSGALG00000007076	4296	229	254	211	214
ENSGALG00000007095	12500	2117	2206	2102	1982
ENSGALG00000007125	7293	1217	1285	1209	1140
ENSGALG00000007140	3829	667	641	763	612
ENSGALG00000007215	4532	3915	3948	3897	3761
ENSGALG00000007266	2776	309	323	318	263
ENSGALG00000007356	3092	42	59	90	95
ENSGALG00000007408	5455	569	605	569	568
ENSGALG00000007519	3489	507	518	510	450
ENSGALG00000007559	1238	796	834	760	751
ENSGALG00000007647	6137	113	82	117	94
ENSGALG00000007667	8093	26	38	32	37
ENSGALG00000007694	1042	278	294	307	294
ENSGALG00000007766	5795	953	1082	798	790
ENSGALG00000007877	2729	824	863	868	867
ENSGALG00000007914	1692	942	977	881	925
ENSGALG00000007943	5255	59	102	45	37
ENSGALG00000007956	2261	265	305	256	216
ENSGALG00000008591	2677	31	40	18	25
ENSGALG00000008602	5760	3	4	0	2
ENSGALG00000008638	5547	18	7	8	7
ENSGALG00000008654	6484	1878	1883	1679	1516
ENSGALG00000008704	11181	78	86	41	32
ENSGALG00000008739	2280	475	506	491	476
ENSGALG00000008747	4841	461	453	649	595
ENSGALG00000008764	2868	1582	1558	1553	1563
ENSGALG00000008912	8239	9	10	13	10
ENSGALG00000019662	1209	3	3	2	2
ENSGALG00000008976	3361	193	189	177	165
ENSGALG00000009004	8215	30	27	27	29
ENSGALG00000009348	12378	2000	2150	2134	1733
ENSGALG00000009394	3618	494	569	531	510
ENSGALG00000009467	3700	283	266	271	249
ENSGALG00000009473	860	13	22	12	13
ENSGALG00000009476	988	365	436	282	306
ENSGALG00000009509	1731	19	22	9	13
ENSGALG00000009517	1813	313	291	270	306
ENSGALG00000009641	4924	19369	20316	21713	21563
ENSGALG00000009686	3722	210	269	104	120
ENSGALG00000009689	5786	172	206	107	137
ENSGALG00000010699	2960	636	704	718	633
ENSGALG00000010704	4031	3685	3953	4585	4231
ENSGALG00000010711	1800	3	15	4	7
ENSGALG00000010718	5415	124	144	120	130
ENSGALG00000010786	6449	81	100	158	113
ENSGALG00000010792	3548	5	5	9	4
ENSGALG00000010794	2968	271	184	901	636
ENSGALG00000010795	4158	227	216	232	194
ENSGALG00000010803	953	14	16	29	9
ENSGALG00000010863	2272	615	662	558	621
ENSGALG00000010875	2318	138	144	147	119
ENSGALG00000010905	6825	1208	1168	1139	1181
ENSGALG00000010906	839	0	0	0	0
ENSGALG00000010910	6215	273	255	242	204
ENSGALG00000010925	3443	2444	2638	2417	2422
ENSGALG00000010961	6489	17358	17569	16558	15433
ENSGALG00000010988	1592	591	606	554	633
ENSGALG00000011046	3113	214	213	194	181
ENSGALG00000011051	2210	1417	1401	997	1037
ENSGALG00000011053	2375	236	320	153	144
ENSGALG00000011055	1822	745	851	570	538
ENSGALG00000023130	10822	2680	2619	8115	6844
ENSGALG00000028702	4475	16	19	191	199
ENSGALG00000011100	3059	629	620	703	653
ENSGALG00000011137	1681	20	18	25	22
ENSGALG00000011164	2729	95	105	117	100
ENSGALG00000011202	1461	2	2	2	5
ENSGALG00000011241	8929	690	683	737	664
ENSGALG00000011243	4059	28	20	21	15
ENSGALG00000011251	2612	756	694	748	671
ENSGALG00000011262	3820	1	3	2	1
ENSGALG00000011278	4078	189	196	164	136
ENSGALG00000011283	5969	98	106	61	56
ENSGALG00000011294	4406	16	19	9	8
ENSGALG00000011298	2024	990	1004	721	706
ENSGALG00000011405	3485	737	773	697	710
ENSGALG00000011447	1649	3	16	3	7
ENSGALG00000011465	2902	5354	5448	5438	5214
ENSGALG00000011490	1324	217	257	271	212
ENSGALG00000011574	2538	516	557	533	534
ENSGALG00000011598	1840	23	19	20	7
ENSGALG00000011603	1527	2400	2553	2398	2454
ENSGALG00000011613	1818	32	30	48	37
ENSGALG00000011678	6944	1933	1990	1892	1767
ENSGALG00000011725	5149	1756	1667	1744	1539
ENSGALG00000011810	1913	683	782	670	631
ENSGALG00000011877	3022	950	1009	965	981
ENSGALG00000011882	3524	176	148	160	158
ENSGALG00000011901	5467	5766	5893	5645	5234
ENSGALG00000011906	1879	178	147	134	141
ENSGALG00000011954	2515	3	3	2	5
ENSGALG00000011980	3449	3609	3673	3616	3385
ENSGALG00000011995	5025	1963	2015	2126	1858
ENSGALG00000012051	1220	0	0	15	12
ENSGALG00000012104	4681	3985	3936	4301	3760
ENSGALG00000012151	1331	6	4	12	22
ENSGALG00000012164	1131	0	0	5	0
ENSGALG00000012188	2562	387	381	371	332
ENSGALG00000012195	2578	2	9	7	6
ENSGALG00000012224	2367	72	67	39	52
ENSGALG00000012238	5324	562	612	435	448
ENSGALG00000012258	7077	712	734	738	699
ENSGALG00000019602	1919	0	0	0	0
ENSGALG00000012286	3224	32	31	37	45
ENSGALG00000012301	2839	1158	1136	1228	1146
ENSGALG00000012303	1996	2	2	1	3
ENSGALG00000012310	664	974	871	900	855
ENSGALG00000012324	810	20	22	19	23
ENSGALG00000026371	902	17	13	17	9
ENSGALG00000012346	4883	77	74	80	67
ENSGALG00000012354	992	148	205	210	214
ENSGALG00000012369	2525	174	182	148	131
ENSGALG00000012389	2722	6	5	2	5
ENSGALG00000012391	2308	13	14	22	17
ENSGALG00000012405	7123	4188	4243	4101	3974
ENSGALG00000012433	5016	1	6	8	7
ENSGALG00000012447	4796	5102	5295	4839	4450
ENSGALG00000012616	4153	51	45	21	18
ENSGALG00000012626	2913	575	627	611	535
ENSGALG00000012653	3752	1272	1347	1267	1199
ENSGALG00000012654	2804	60	47	70	72
ENSGALG00000012656	4308	387	446	409	393
ENSGALG00000012657	7677	346	340	345	260
ENSGALG00000019587	729	3	0	2	0
ENSGALG00000019585	611	0	0	1	0
ENSGALG00000012677	3921	929	858	872	833
ENSGALG00000012680	1313	422	413	392	409
ENSGALG00000012684	2940	4857	4924	4812	4536
ENSGALG00000012689	5789	812	803	862	707
ENSGALG00000012699	1554	374	379	372	330
ENSGALG00000012702	4973	4076	4069	3640	3466
ENSGALG00000012720	7959	5161	5339	4920	4834
ENSGALG00000012730	1185	42	48	47	58
ENSGALG00000012732	4459	310	372	209	199
ENSGALG00000012744	1154	240	238	189	204
ENSGALG00000019570	653	87	89	73	91
ENSGALG00000012747	2488	417	452	458	476
ENSGALG00000012770	6766	881	909	982	824
ENSGALG00000022976	1028	0	2	0	2
ENSGALG00000012778	1197	329	341	319	338
ENSGALG00000012780	717	11	11	11	6
ENSGALG00000012790	9252	1408	1612	1648	1785
ENSGALG00000012799	5655	437	452	424	418
ENSGALG00000012802	7439	22	24	17	14
ENSGALG00000012805	2071	415	424	449	470
ENSGALG00000027339	711	206	250	216	240
ENSGALG00000012816	3517	146	158	155	154
ENSGALG00000012837	11007	1809	1697	1725	1518
ENSGALG00000012845	1750	4	1	0	0
ENSGALG00000012903	3384	214	220	224	232
ENSGALG00000012906	3363	6	7	19	24
ENSGALG00000022956	274	0	0	0	0
ENSGALG00000012927	3870	89	92	45	53
ENSGALG00000018578	1392	0	1	0	0
ENSGALG00000027027	4081	610	653	566	578
ENSGALG00000012965	1121	110	134	123	109
ENSGALG00000012979	9060	3130	3088	3000	2623
ENSGALG00000012997	13957	35	60	51	62
ENSGALG00000013001	6132	1232	1228	1157	1107
ENSGALG00000013002	2483	1392	1263	1369	1168
ENSGALG00000013005	1664	360	330	347	316
ENSGALG00000013051	2709	1515	1676	1038	1043
ENSGALG00000013053	7138	692	575	661	637
ENSGALG00000013060	3957	55	69	86	93
ENSGALG00000028336	2843	1014	1009	980	938
ENSGALG00000013079	6373	7	0	6	3
ENSGALG00000013081	1503	39	42	13	12
ENSGALG00000013100	2052	272	273	251	257
ENSGALG00000028075	5923	0	0	1	0
ENSGALG00000013124	4999	685	658	407	376
ENSGALG00000013138	3462	363	368	398	403
ENSGALG00000013145	7431	184	190	172	160
ENSGALG00000022909	3459	60	84	86	82
ENSGALG00000013155	1249	26	15	22	29
ENSGALG00000019527	2807	1	0	2	0
ENSGALG00000013189	1595	362	369	355	376
ENSGALG00000013212	2239	1788	1737	1471	1430
ENSGALG00000013268	14650	86	73	87	64
ENSGALG00000013402	2281	4	6	7	5
ENSGALG00000013441	4839	325	309	316	288
ENSGALG00000013568	1986	32	37	29	47
ENSGALG00000013591	976	564	587	592	528
ENSGALG00000013605	4909	1151	1185	997	1052
ENSGALG00000013640	2264	21	28	17	13
ENSGALG00000013660	4296	1086	987	1224	1081
ENSGALG00000013681	6761	806	888	780	763
ENSGALG00000013720	1379	21	13	25	13
ENSGALG00000013729	2271	0	0	0	0
ENSGALG00000013753	1331	29	30	27	37
ENSGALG00000019509	1323	0	0	1	0
ENSGALG00000013757	4040	2572	2424	2424	2342
ENSGALG00000013782	5314	86	72	51	84
ENSGALG00000013872	2827	998	1064	1008	961
ENSGALG00000013880	8691	1255	1322	1322	1214
ENSGALG00000013817	2547	204	228	219	195
ENSGALG00000027684	3481	631	721	593	634
ENSGALG00000013785	1354	269	223	268	223
ENSGALG00000013954	9847	176	226	123	96
ENSGALG00000022874	1572	352	335	342	282
ENSGALG00000008405	2727	2549	2576	2338	2406
ENSGALG00000013357	7128	387	477	436	478
ENSGALG00000013902	8741	327	348	341	350
ENSGALG00000014615	9464	1884	2024	2054	1991
ENSGALG00000014852	2279	1960	2030	1895	1924
ENSGALG00000014811	6069	1498	1395	1492	1360
ENSGALG00000014860	1701	1071	1184	1034	1065
ENSGALG00000014922	4901	2058	2010	2079	1856
ENSGALG00000014982	4017	998	995	1049	909
ENSGALG00000015056	10750	186	190	332	281
ENSGALG00000015124	1173	524	520	547	524
ENSGALG00000015132	3219	1554	1483	1346	1088
ENSGALG00000015140	2675	95	90	139	167
ENSGALG00000015181	2765	170	196	158	181
ENSGALG00000015183	528	94	110	73	66
ENSGALG00000015186	2067	86	104	69	50
ENSGALG00000019484	953	5	8	14	9
ENSGALG00000015196	6724	905	870	866	788
ENSGALG00000015198	1267	2	4	2	7
ENSGALG00000015211	3327	507	534	539	461
ENSGALG00000028133	903	1213	1244	1142	1162
ENSGALG00000015248	1571	35	25	73	81
ENSGALG00000015250	3505	342	315	337	264
ENSGALG00000015254	3210	0	0	0	0
ENSGALG00000013621	1373	331	367	316	312
ENSGALG00000026109	7589	0	0	2	0
ENSGALG00000015404	2368	73	75	62	55
ENSGALG00000015448	4862	344	302	256	211
ENSGALG00000015479	2641	1566	1766	1603	1603
ENSGALG00000015504	3573	96	74	141	123
ENSGALG00000015516	1684	1054	1032	955	945
ENSGALG00000015520	1711	0	0	0	0
ENSGALG00000014100	814	0	0	0	0
ENSGALG00000015525	4288	655	670	626	660
ENSGALG00000015558	2581	17	13	50	29
ENSGALG00000015565	3084	119	102	88	86
ENSGALG00000011264	6151	743	674	857	887
ENSGALG00000015574	2296	603	621	469	492
ENSGALG00000015607	5098	981	980	1001	863
ENSGALG00000015622	4554	739	794	659	557
ENSGALG00000019470	1561	97	147	88	95
ENSGALG00000015632	4385	73	63	51	37
ENSGALG00000022800	3268	53	50	57	60
ENSGALG00000015644	2066	2628	2702	2874	2836
ENSGALG00000019468	1420	225	182	207	214
ENSGALG00000015653	2186	133	117	135	121
ENSGALG00000015659	1336	368	349	274	258
ENSGALG00000015673	10843	2562	2463	2764	2414
ENSGALG00000015734	1156	136	173	123	139
ENSGALG00000015797	825	0	3	2	5
ENSGALG00000015868	1692	0	0	0	3
ENSGALG00000015881	3937	543	511	592	566
ENSGALG00000015896	5727	318	317	264	284
ENSGALG00000028264	4258	1111	1113	1081	1119
ENSGALG00000015924	5917	1	0	2	0
ENSGALG00000015926	5707	632	621	647	610
ENSGALG00000015927	765	106	118	113	93
ENSGALG00000015968	3978	62	74	72	86
ENSGALG00000015980	8224	45	43	39	33
ENSGALG00000015993	3299	1324	1305	1221	1316
ENSGALG00000028628	3824	19	27	19	27
ENSGALG00000018595	770	786	819	784	807
ENSGALG00000016015	5146	1710	1740	1692	1443
ENSGALG00000016037	3905	131	100	111	79
ENSGALG00000016074	7296	52	39	45	43
ENSGALG00000016076	1549	43	36	47	38
ENSGALG00000016078	4791	64	72	55	51
ENSGALG00000016079	2668	357	448	392	335
ENSGALG00000016118	1338	0	0	0	1
ENSGALG00000016115	686	22	28	21	25
ENSGALG00000016114	4067	102	113	120	148
ENSGALG00000016411	12255	1254	1390	1073	1393
ENSGALG00000016399	4021	174	161	231	256
ENSGALG00000016393	709	2	6	3	0
ENSGALG00000016386	3395	2439	2455	2353	2152
ENSGALG00000016372	823	328	286	300	229
ENSGALG00000016354	3735	965	1039	984	910
ENSGALG00000016333	2959	243	249	281	262
ENSGALG00000016302	8103	1263	1277	1220	1272
ENSGALG00000016270	7551	1166	1229	1186	1113
ENSGALG00000016243	4995	2222	2261	2205	2003
ENSGALG00000016233	8410	29	34	39	40
ENSGALG00000016234	3260	14	14	19	16
ENSGALG00000016210	1845	471	478	517	548
ENSGALG00000016203	1159	890	937	1105	1157
ENSGALG00000016197	4808	2	0	0	0
ENSGALG00000016195	9258	5	5	12	12
ENSGALG00000016190	3901	454	457	457	461
ENSGALG00000016171	7951	2988	3228	3011	2867
ENSGALG00000016160	7709	11	19	20	16
ENSGALG00000028847	5594	1036	1053	964	1011
ENSGALG00000000075	5029	1865	1906	1959	1883
ENSGALG00000000076	2650	216	228	252	207
ENSGALG00000018626	658	0	0	0	0
ENSGALG00000013049	2199	282	296	325	271
ENSGALG00000013359	3072	524	556	533	511
ENSGALG00000013346	688	0	0	0	0
ENSGALG00000013343	1379	0	0	1	0
ENSGALG00000023647	1285	3	4	4	2
ENSGALG00000013341	3373	952	1090	900	1020
ENSGALG00000028513	961	506	663	486	648
ENSGALG00000025923	1525	1167	1364	1213	1291
ENSGALG00000028756	2428	284	275	234	254
ENSGALG00000027946	1208	65	102	68	82
ENSGALG00000027043	2444	58	49	49	61
ENSGALG00000028939	2262	0	0	0	1
ENSGALG00000018597	2066	76	63	68	77
ENSGALG00000023643	830	1	1	0	1
ENSGALG00000004904	1495	62	71	66	54
ENSGALG00000004909	764	1012	1151	924	932
ENSGALG00000004919	15350	0	4	2	2
ENSGALG00000008915	2032	132	136	148	114
ENSGALG00000005650	819	24	42	18	40
ENSGALG00000005097	1469	7	6	8	5
ENSGALG00000019713	3298	118	140	104	156
ENSGALG00000027143	4030	1541	1670	1504	1493
ENSGALG00000019711	1608	218	243	247	244
ENSGALG00000019710	2400	188	259	256	259
ENSGALG00000004819	2895	494	528	529	514
ENSGALG00000028985	1243	179	190	147	157
ENSGALG00000026277	1273	116	130	121	150
ENSGALG00000026922	685	235	266	250	228
ENSGALG00000023632	628	230	286	272	275
ENSGALG00000028282	2321	341	338	362	363
ENSGALG00000026155	2623	213	246	210	247
ENSGALG00000004931	600	413	483	431	457
ENSGALG00000004934	4604	685	740	777	679
ENSGALG00000025364	99	3	0	0	1
ENSGALG00000021838	290	429	485	435	497
ENSGALG00000004938	2485	1347	1613	1269	1459
ENSGALG00000005027	5055	3006	3235	3017	3065
ENSGALG00000027384	111	0	0	0	0
ENSGALG00000028443	2041	92	95	105	104
ENSGALG00000005056	1453	273	243	282	263
ENSGALG00000028637	2282	602	646	616	599
ENSGALG00000005148	2834	32	34	29	18
ENSGALG00000005209	1724	103	58	130	274
ENSGALG00000005212	3403	0	0	0	0
ENSGALG00000029088	1012	0	0	0	0
ENSGALG00000005242	3321	5	4	3	0
ENSGALG00000005259	2876	4	10	1	9
ENSGALG00000025188	74	0	0	0	0
ENSGALG00000005268	3189	535	596	553	514
ENSGALG00000005282	5251	2392	2480	2434	2123
ENSGALG00000005287	2145	250	220	217	227
ENSGALG00000005292	3128	6	5	2	2
ENSGALG00000005297	1938	11	9	9	7
ENSGALG00000005303	2172	48	66	62	53
ENSGALG00000019702	1403	722	730	653	698
ENSGALG00000005305	1148	13	14	20	17
ENSGALG00000028660	92	0	0	0	0
ENSGALG00000026578	3316	39	44	66	44
ENSGALG00000005328	2733	908	933	897	923
ENSGALG00000005331	3310	712	710	928	901
ENSGALG00000005336	816	512	513	455	467
ENSGALG00000027824	577	317	352	323	302
ENSGALG00000026648	5298	203	207	190	201
ENSGALG00000027333	111	0	0	0	0
ENSGALG00000005412	3774	596	580	629	472
ENSGALG00000005417	3973	449	402	446	422
ENSGALG00000005430	7932	93	83	109	91
ENSGALG00000005448	2109	2	0	2	1
ENSGALG00000021798	91	0	0	0	0
ENSGALG00000005487	1281	2130	2275	2120	2241
ENSGALG00000025201	75	0	0	0	0
ENSGALG00000005492	8500	540	571	651	665
ENSGALG00000028194	1236	2	3	7	10
ENSGALG00000005498	1441	32	42	48	78
ENSGALG00000005508	11704	4575	5030	4826	4675
ENSGALG00000005582	5939	1043	1149	999	1019
ENSGALG00000027175	913	0	0	2	1
ENSGALG00000019696	506	0	0	0	0
ENSGALG00000027490	866	0	0	0	0
ENSGALG00000027973	782	3	3	5	1
ENSGALG00000005600	4510	2335	2724	2405	2501
ENSGALG00000025355	143	13	15	10	10
ENSGALG00000017836	139	17	24	21	15
ENSGALG00000025361	138	2	1	0	0
ENSGALG00000026888	137	0	0	0	0
ENSGALG00000005603	4073	170	192	184	179
ENSGALG00000005612	2223	1117	1277	1132	1147
ENSGALG00000005615	848	358	378	357	361
ENSGALG00000027320	133	0	0	0	0
ENSGALG00000005644	3398	8	11	10	7
ENSGALG00000005657	2765	125	151	122	134
ENSGALG00000005661	1217	7	13	7	15
ENSGALG00000005694	2333	4871	5161	4537	4416
ENSGALG00000005710	2309	735	752	724	682
ENSGALG00000018279	78	0	2	0	0
ENSGALG00000005805	7058	1046	1304	641	703
ENSGALG00000005826	5045	29	33	25	24
ENSGALG00000025663	105	0	0	0	0
ENSGALG00000005860	2416	572	672	604	590
ENSGALG00000025750	1051	0	0	0	1
ENSGALG00000005947	8748	407	429	379	365
ENSGALG00000027644	111	0	0	0	0
ENSGALG00000006018	2434	0	0	0	0
ENSGALG00000005934	2222	227	210	213	226
ENSGALG00000006025	14817	1	0	0	0
ENSGALG00000021837	1030	0	0	0	0
ENSGALG00000027905	5174	482	517	429	465
ENSGALG00000006033	2604	1321	1309	1314	1232
ENSGALG00000006052	4003	1531	1558	1453	1339
ENSGALG00000028559	96	0	0	0	0
ENSGALG00000027702	5372	0	0	2	0
ENSGALG00000006153	1305	785	849	785	766
ENSGALG00000006158	1501	532	476	586	486
ENSGALG00000028088	111	0	2	0	0
