cluster	chicken_gene
Cluster-56296.0	ENSGALG00000012525
Cluster-56299.0	ENSGALG00000029000
Cluster-56299.1	ENSGALG00000009321
Cluster-56299.2	ENSGALG00000029000
Cluster-56301.0	ENSGALG00000009012
Cluster-56309.0	ENSGALG00000004596
Cluster-56320.0	ENSGALG00000015140
Cluster-56328.0	ENSGALG00000025745
Cluster-56329.0	ENSGALG00000028217
Cluster-56329.1	ENSGALG00000028217
Cluster-56344.0	ENSGALG00000013869
Cluster-56362.0	ENSGALG00000010319
Cluster-56364.0	ENSGALG00000004018
Cluster-56365.0	ENSGALG00000011598
Cluster-56365.1	ENSGALG00000011598
Cluster-56369.0	ENSGALG00000004343
Cluster-56371.0	ENSGALG00000004489
Cluster-56376.0	ENSGALG00000004157
Cluster-56383.0	ENSGALG00000020999
Cluster-56391.0	ENSGALG00000026345
Cluster-56396.0	ENSGALG00000002150
Cluster-56400.0	ENSGALG00000005547
Cluster-56409.0	ENSGALG00000012124
Cluster-56412.0	ENSGALG00000009606
Cluster-56415.0	ENSGALG00000012076
Cluster-56439.0	ENSGALG00000010812
Cluster-56448.0	ENSGALG00000026498
Cluster-56468.0	ENSGALG00000014227
Cluster-56468.1	ENSGALG00000014227
Cluster-56484.0	ENSGALG00000016288
Cluster-56490.0	ENSGALG00000026498
Cluster-56500.0	ENSGALG00000008514
Cluster-56503.2	ENSGALG00000010165
Cluster-56514.0	ENSGALG00000027995
Cluster-56516.0	ENSGALG00000010391
Cluster-56527.0	ENSGALG00000025868
Cluster-56536.0	ENSGALG00000002561
Cluster-56537.0	ENSGALG00000006550
Cluster-56537.1	ENSGALG00000006550
Cluster-56541.0	ENSGALG00000014283
Cluster-56555.0	ENSGALG00000018367
Cluster-56558.0	ENSGALG00000013399
Cluster-56560.0	ENSGALG00000016017
Cluster-56561.0	ENSGALG00000001414
Cluster-56565.0	ENSGALG00000016265
Cluster-56570.0	ENSGALG00000006040
Cluster-56570.1	ENSGALG00000006040
Cluster-56586.0	ENSGALG00000026354
Cluster-56597.0	ENSGALG00000029025
Cluster-56598.0	ENSGALG00000003817
Cluster-56601.0	ENSGALG00000003829
Cluster-56604.0	ENSGALG00000028330
Cluster-56617.0	ENSGALG00000015183
Cluster-56625.0	ENSGALG00000019317
Cluster-56640.0	ENSGALG00000006235
Cluster-56655.0	ENSGALG00000017372
Cluster-56655.1	ENSGALG00000017372
Cluster-56659.0	ENSGALG00000011299
Cluster-56659.1	ENSGALG00000011299
Cluster-56660.0	ENSGALG00000027655
Cluster-56667.0	ENSGALG00000028739
Cluster-56675.0	ENSGALG00000026498
Cluster-56676.0	ENSGALG00000004756
Cluster-56682.0	ENSGALG00000005822
Cluster-56691.1	ENSGALG00000002579
Cluster-56691.2	ENSGALG00000011132
Cluster-56696.0	ENSGALG00000010114
Cluster-56703.0	ENSGALG00000027351
Cluster-56706.1	ENSGALG00000007886
Cluster-56707.0	ENSGALG00000006272
Cluster-56715.1	ENSGALG00000009082
Cluster-56716.0	ENSGALG00000002982
Cluster-56719.0	ENSGALG00000019802
Cluster-56722.0	ENSGALG00000019232
Cluster-56722.1	ENSGALG00000019232
Cluster-56722.2	ENSGALG00000010639
Cluster-56722.3	ENSGALG00000019232
Cluster-56739.0	ENSGALG00000008661
Cluster-56742.0	ENSGALG00000000680
Cluster-56742.1	ENSGALG00000014179
Cluster-56755.0	ENSGALG00000011320
Cluster-56757.1	ENSGALG00000003316
Cluster-56760.0	ENSGALG00000016896
Cluster-56768.0	ENSGALG00000000388
Cluster-56780.0	ENSGALG00000001270
Cluster-56781.0	ENSGALG00000026291
Cluster-56787.1	ENSGALG00000016146
Cluster-56792.0	ENSGALG00000010293
Cluster-56795.0	ENSGALG00000005775
Cluster-56795.1	ENSGALG00000005775
Cluster-56818.0	ENSGALG00000015685
Cluster-56821.0	ENSGALG00000014848
Cluster-56827.0	ENSGALG00000026185
Cluster-56833.0	ENSGALG00000006448
Cluster-56846.0	ENSGALG00000001233
Cluster-56855.2	ENSGALG00000010737
Cluster-56855.3	ENSGALG00000010737
Cluster-56858.0	ENSGALG00000015154
Cluster-56859.0	ENSGALG00000013838
Cluster-56865.0	ENSGALG00000004785
Cluster-56866.0	ENSGALG00000017120
Cluster-56867.0	ENSGALG00000014349
Cluster-56875.0	ENSGALG00000005107
Cluster-5688.0	ENSGALG00000015069
Cluster-5688.1	ENSGALG00000015069
Cluster-56880.0	ENSGALG00000011459
Cluster-56886.0	ENSGALG00000015789
Cluster-56896.0	ENSGALG00000027629
Cluster-56900.0	ENSGALG00000017041
Cluster-56904.0	ENSGALG00000026366
Cluster-56904.1	ENSGALG00000026366
Cluster-5691.0	ENSGALG00000013505
Cluster-56912.0	ENSGALG00000004267
Cluster-56919.0	ENSGALG00000016797
Cluster-5692.0	ENSGALG00000029008
Cluster-56925.0	ENSGALG00000007115
Cluster-56953.0	ENSGALG00000023876
Cluster-56969.0	ENSGALG00000006981
Cluster-56975.1	ENSGALG00000029061
Cluster-56982.0	ENSGALG00000010618
Cluster-56982.1	ENSGALG00000010618
Cluster-56996.0	ENSGALG00000028301
Cluster-57007.0	ENSGALG00000026011
Cluster-57014.0	ENSGALG00000002551
Cluster-57036.1	ENSGALG00000010599
Cluster-57036.2	ENSGALG00000010599
Cluster-57043.0	ENSGALG00000001264
Cluster-57047.0	ENSGALG00000014726
Cluster-57059.0	ENSGALG00000014722
Cluster-57066.0	ENSGALG00000012414
Cluster-57068.0	ENSGALG00000012639
Cluster-57085.0	ENSGALG00000000547
Cluster-5709.0	ENSGALG00000026046
Cluster-57092.0	ENSGALG00000028326
Cluster-57102.0	ENSGALG00000005737
Cluster-57116.0	ENSGALG00000022980
Cluster-57130.0	ENSGALG00000028756
Cluster-57140.0	ENSGALG00000001912
Cluster-57148.0	ENSGALG00000022857
Cluster-57149.0	ENSGALG00000026291
Cluster-5715.0	ENSGALG00000014973
Cluster-57157.0	ENSGALG00000005599
Cluster-57172.0	ENSGALG00000006793
Cluster-57180.0	ENSGALG00000007943
Cluster-57182.0	ENSGALG00000012533
Cluster-57193.0	ENSGALG00000013031
Cluster-57202.0	ENSGALG00000008127
Cluster-57212.0	ENSGALG00000015105
Cluster-57228.0	ENSGALG00000002152
Cluster-57241.0	ENSGALG00000026741
Cluster-57257.0	ENSGALG00000023120
Cluster-57268.0	ENSGALG00000015544
Cluster-57285.0	ENSGALG00000029008
Cluster-57286.0	ENSGALG00000011784
Cluster-57291.1	ENSGALG00000019967
Cluster-57293.0	ENSGALG00000002667
Cluster-57303.0	ENSGALG00000009973
Cluster-57305.1	ENSGALG00000014514
Cluster-57311.0	ENSGALG00000007646
Cluster-57312.0	ENSGALG00000002326
Cluster-57316.0	ENSGALG00000008602
Cluster-5732.0	ENSGALG00000019651
Cluster-57322.1	ENSGALG00000026694
Cluster-57322.2	ENSGALG00000026694
Cluster-57326.0	ENSGALG00000012407
Cluster-57328.0	ENSGALG00000017089
Cluster-57347.0	ENSGALG00000026627
Cluster-57359.0	ENSGALG00000028339
Cluster-57370.0	ENSGALG00000008156
Cluster-57375.0	ENSGALG00000015033
Cluster-57380.0	ENSGALG00000026762
Cluster-57380.1	ENSGALG00000026762
Cluster-57388.0	ENSGALG00000004157
Cluster-57391.0	ENSGALG00000026852
Cluster-57396.1	ENSGALG00000002993
Cluster-57396.3	ENSGALG00000002993
Cluster-57399.0	ENSGALG00000006219
Cluster-5740.0	ENSGALG00000026498
Cluster-57412.0	ENSGALG00000006202
Cluster-57435.0	ENSGALG00000014650
Cluster-57435.1	ENSGALG00000014650
Cluster-57439.1	ENSGALG00000014916
Cluster-57443.0	ENSGALG00000004435
Cluster-57448.0	ENSGALG00000021002
Cluster-57449.0	ENSGALG00000001111
Cluster-57450.0	ENSGALG00000025946
Cluster-57451.0	ENSGALG00000017389
Cluster-57454.0	ENSGALG00000000836
Cluster-57464.0	ENSGALG00000006957
Cluster-57474.0	ENSGALG00000002431
Cluster-57476.0	ENSGALG00000007133
Cluster-57483.1	ENSGALG00000007330
Cluster-57491.0	ENSGALG00000006700
Cluster-57502.0	ENSGALG00000001917
Cluster-57513.0	ENSGALG00000010786
Cluster-57516.0	ENSGALG00000026038
Cluster-57516.2	ENSGALG00000026038
Cluster-57525.0	ENSGALG00000005052
Cluster-57530.0	ENSGALG00000002864
Cluster-57533.0	ENSGALG00000015548
Cluster-57549.0	ENSGALG00000001289
Cluster-57554.0	ENSGALG00000014883
Cluster-57556.0	ENSGALG00000015935
Cluster-57559.0	ENSGALG00000000957
Cluster-57565.0	ENSGALG00000026431
Cluster-57582.0	ENSGALG00000013588
Cluster-57588.0	ENSGALG00000015377
Cluster-57597.1	ENSGALG00000010614
Cluster-57598.0	ENSGALG00000013042
Cluster-57601.0	ENSGALG00000004627
Cluster-57611.0	ENSGALG00000028368
Cluster-57613.0	ENSGALG00000009179
Cluster-57618.0	ENSGALG00000026789
Cluster-57624.0	ENSGALG00000024484
Cluster-57630.0	ENSGALG00000003228
Cluster-57632.0	ENSGALG00000029169
Cluster-57637.0	ENSGALG00000027354
Cluster-57638.0	ENSGALG00000008475
Cluster-5764.0	ENSGALG00000005655
Cluster-57648.0	ENSGALG00000008133
Cluster-57654.0	ENSGALG00000008514
Cluster-57656.0	ENSGALG00000011447
Cluster-57658.0	ENSGALG00000026384
Cluster-57663.0	ENSGALG00000011523
Cluster-57664.0	ENSGALG00000007012
Cluster-57665.0	ENSGALG00000002377
Cluster-57671.0	ENSGALG00000026360
Cluster-57676.0	ENSGALG00000003562
Cluster-5768.0	ENSGALG00000017323
Cluster-57690.1	ENSGALG00000008139
Cluster-57700.0	ENSGALG00000009239
Cluster-57703.0	ENSGALG00000010434
Cluster-5771.0	ENSGALG00000002987
Cluster-57713.0	ENSGALG00000005332
Cluster-57718.1	ENSGALG00000009260
Cluster-57718.2	ENSGALG00000009260
Cluster-57720.0	ENSGALG00000015531
Cluster-57729.0	ENSGALG00000008918
Cluster-57729.1	ENSGALG00000008918
Cluster-57731.0	ENSGALG00000000868
Cluster-57734.1	ENSGALG00000000780
Cluster-57737.0	ENSGALG00000010312
Cluster-57742.0	ENSGALG00000008940
Cluster-57752.0	ENSGALG00000004251
Cluster-57761.0	ENSGALG00000026674
Cluster-57766.0	ENSGALG00000009233
Cluster-57770.0	ENSGALG00000028801
Cluster-57773.0	ENSGALG00000005005
Cluster-57795.0	ENSGALG00000012518
Cluster-57796.0	ENSGALG00000020458
Cluster-57799.1	ENSGALG00000016345
Cluster-57799.2	ENSGALG00000016345
Cluster-578.0	ENSGALG00000003256
Cluster-5780.0	ENSGALG00000008961
Cluster-57805.0	ENSGALG00000011777
Cluster-57809.0	ENSGALG00000013761
Cluster-57822.0	ENSGALG00000007681
Cluster-57823.0	ENSGALG00000004888
Cluster-57825.0	ENSGALG00000007211
Cluster-5783.0	ENSGALG00000013254
Cluster-5783.1	ENSGALG00000013254
Cluster-57834.0	ENSGALG00000023083
Cluster-57837.0	ENSGALG00000026792
Cluster-57840.0	ENSGALG00000012911
Cluster-57842.0	ENSGALG00000026930
Cluster-57846.0	ENSGALG00000015835
Cluster-57854.0	ENSGALG00000006592
Cluster-57857.0	ENSGALG00000028721
Cluster-57871.0	ENSGALG00000001352
Cluster-57881.0	ENSGALG00000002564
Cluster-57885.0	ENSGALG00000011624
Cluster-57885.1	ENSGALG00000011624
Cluster-57898.0	ENSGALG00000027588
Cluster-57901.0	ENSGALG00000007940
Cluster-57905.0	ENSGALG00000027323
Cluster-57906.0	ENSGALG00000012790
Cluster-57913.0	ENSGALG00000011613
Cluster-57918.0	ENSGALG00000005467
Cluster-57924.0	ENSGALG00000005696
Cluster-57925.0	ENSGALG00000010566
Cluster-57937.0	ENSGALG00000001070
Cluster-57938.0	ENSGALG00000026498
Cluster-57943.1	ENSGALG00000008784
Cluster-57945.0	ENSGALG00000002287
Cluster-5795.0	ENSGALG00000006165
Cluster-57961.0	ENSGALG00000011120
Cluster-57962.0	ENSGALG00000004604
Cluster-57970.0	ENSGALG00000026768
Cluster-57972.0	ENSGALG00000014807
Cluster-57972.1	ENSGALG00000014807
Cluster-57979.0	ENSGALG00000028739
Cluster-57999.0	ENSGALG00000026267
Cluster-58028.0	ENSGALG00000003951
Cluster-58032.2	ENSGALG00000012303
Cluster-58044.0	ENSGALG00000016017
Cluster-58047.1	ENSGALG00000002463
Cluster-58047.2	ENSGALG00000002463
Cluster-58054.0	ENSGALG00000003706
Cluster-58055.0	ENSGALG00000028014
Cluster-58069.0	ENSGALG00000028115
Cluster-58080.0	ENSGALG00000006119
Cluster-58089.1	ENSGALG00000015628
Cluster-5809.0	ENSGALG00000008616
Cluster-58105.0	ENSGALG00000002145
Cluster-58107.0	ENSGALG00000008156
Cluster-58115.0	ENSGALG00000004974
Cluster-58142.0	ENSGALG00000018934
Cluster-58147.0	ENSGALG00000015003
Cluster-58151.0	ENSGALG00000008202
Cluster-58159.0	ENSGALG00000010711
Cluster-58161.0	ENSGALG00000006677
Cluster-58161.1	ENSGALG00000006677
Cluster-58161.2	ENSGALG00000006677
Cluster-58173.0	ENSGALG00000013911
Cluster-58173.2	ENSGALG00000012788
Cluster-58182.0	ENSGALG00000008442
Cluster-58189.0	ENSGALG00000009523
Cluster-58191.0	ENSGALG00000029178
Cluster-58192.0	ENSGALG00000003058
Cluster-58195.0	ENSGALG00000026498
Cluster-58198.0	ENSGALG00000013521
Cluster-58203.0	ENSGALG00000025779
Cluster-58206.0	ENSGALG00000007841
Cluster-58210.0	ENSGALG00000006100
Cluster-58215.0	ENSGALG00000005589
Cluster-58220.0	ENSGALG00000000456
Cluster-58222.0	ENSGALG00000012226
Cluster-58237.1	ENSGALG00000014947
Cluster-58238.0	ENSGALG00000004657
Cluster-58246.0	ENSGALG00000015517
Cluster-58246.1	ENSGALG00000015517
Cluster-58255.0	ENSGALG00000009652
Cluster-58262.0	ENSGALG00000010269
Cluster-58276.0	ENSGALG00000006588
Cluster-58277.0	ENSGALG00000013785
Cluster-58278.0	ENSGALG00000005867
Cluster-58280.0	ENSGALG00000014727
Cluster-58280.1	ENSGALG00000028269
Cluster-58287.0	ENSGALG00000007573
Cluster-58294.0	ENSGALG00000001315
Cluster-58297.0	ENSGALG00000000906
Cluster-5830.0	ENSGALG00000010812
Cluster-58300.0	ENSGALG00000002393
Cluster-58310.0	ENSGALG00000000669
Cluster-58312.0	ENSGALG00000004319
Cluster-58317.0	ENSGALG00000008046
Cluster-58333.0	ENSGALG00000002896
Cluster-58335.1	ENSGALG00000010996
Cluster-58358.0	ENSGALG00000016556
Cluster-58369.0	ENSGALG00000011604
Cluster-58373.0	ENSGALG00000002539
Cluster-58374.0	ENSGALG00000011473
Cluster-58382.0	ENSGALG00000012020
Cluster-58383.0	ENSGALG00000011621
Cluster-58387.0	ENSGALG00000012044
Cluster-58389.0	ENSGALG00000012072
Cluster-58393.0	ENSGALG00000009493
Cluster-58400.0	ENSGALG00000007911
Cluster-58407.0	ENSGALG00000027581
Cluster-58416.0	ENSGALG00000002351
Cluster-58425.0	ENSGALG00000016603
Cluster-58430.0	ENSGALG00000007908
Cluster-58439.0	ENSGALG00000005458
Cluster-58439.2	ENSGALG00000005458
Cluster-58439.3	ENSGALG00000005458
Cluster-58445.0	ENSGALG00000024083
Cluster-58449.0	ENSGALG00000015637
Cluster-58463.0	ENSGALG00000027125
Cluster-58466.0	ENSGALG00000004527
Cluster-58474.0	ENSGALG00000026890
Cluster-58478.0	ENSGALG00000003856
Cluster-58481.0	ENSGALG00000023616
Cluster-58483.0	ENSGALG00000016364
Cluster-58487.0	ENSGALG00000010924
Cluster-58490.0	ENSGALG00000000934
Cluster-58501.0	ENSGALG00000016959
Cluster-58511.0	ENSGALG00000015458
Cluster-58517.0	ENSGALG00000013781
Cluster-58540.0	ENSGALG00000028203
Cluster-58554.0	ENSGALG00000017150
Cluster-58560.0	ENSGALG00000028444
Cluster-58562.0	ENSGALG00000012077
Cluster-58566.0	ENSGALG00000001518
Cluster-58587.0	ENSGALG00000016006
Cluster-58595.0	ENSGALG00000008456
Cluster-58598.0	ENSGALG00000029074
Cluster-58598.1	ENSGALG00000029074
Cluster-58611.0	ENSGALG00000001533
Cluster-58614.0	ENSGALG00000002098
Cluster-58626.0	ENSGALG00000005549
Cluster-58636.0	ENSGALG00000029025
Cluster-58639.0	ENSGALG00000012422
Cluster-58647.0	ENSGALG00000019690
Cluster-58648.0	ENSGALG00000027746
Cluster-58649.0	ENSGALG00000028085
Cluster-5865.0	ENSGALG00000016212
Cluster-58665.0	ENSGALG00000007820
Cluster-58668.0	ENSGALG00000009523
Cluster-58677.0	ENSGALG00000003537
Cluster-58683.0	ENSGALG00000005418
Cluster-58689.0	ENSGALG00000026644
Cluster-58702.0	ENSGALG00000004167
Cluster-58708.0	ENSGALG00000003416
Cluster-5871.0	ENSGALG00000014722
Cluster-58710.0	ENSGALG00000003594
Cluster-58712.0	ENSGALG00000006258
Cluster-58718.0	ENSGALG00000004673
Cluster-58720.0	ENSGALG00000000917
Cluster-58726.0	ENSGALG00000007608
Cluster-58728.0	ENSGALG00000015434
Cluster-58738.0	ENSGALG00000025842
Cluster-58751.0	ENSGALG00000004704
Cluster-58757.0	ENSGALG00000009048
Cluster-58759.0	ENSGALG00000026387
Cluster-58769.1	ENSGALG00000026450
Cluster-58774.0	ENSGALG00000014074
Cluster-58788.0	ENSGALG00000006891
Cluster-58789.0	ENSGALG00000026717
Cluster-5879.0	ENSGALG00000026790
Cluster-58793.0	ENSGALG00000012156
Cluster-58794.0	ENSGALG00000004472
Cluster-58796.0	ENSGALG00000026020
Cluster-58804.0	ENSGALG00000005808
Cluster-58808.0	ENSGALG00000013094
Cluster-58819.0	ENSGALG00000015315
Cluster-58823.0	ENSGALG00000010854
Cluster-58833.0	ENSGALG00000025902
Cluster-58843.0	ENSGALG00000013072
Cluster-58844.0	ENSGALG00000016906
Cluster-58856.0	ENSGALG00000004257
Cluster-58857.0	ENSGALG00000013934
Cluster-58858.0	ENSGALG00000006591
Cluster-58862.0	ENSGALG00000021017
Cluster-58876.0	ENSGALG00000010350
Cluster-58884.0	ENSGALG00000023866
Cluster-58915.0	ENSGALG00000010125
Cluster-58922.0	ENSGALG00000015513
Cluster-58922.1	ENSGALG00000015513
Cluster-58949.0	ENSGALG00000000158
Cluster-5896.0	ENSGALG00000016979
Cluster-58962.0	ENSGALG00000026970
Cluster-58970.0	ENSGALG00000010697
Cluster-58972.1	ENSGALG00000010502
Cluster-58972.2	ENSGALG00000010502
Cluster-58975.0	ENSGALG00000023781
Cluster-58988.0	ENSGALG00000017102
Cluster-58989.1	ENSGALG00000009824
Cluster-58991.0	ENSGALG00000028193
Cluster-58994.0	ENSGALG00000006237
Cluster-58999.0	ENSGALG00000026534
Cluster-59010.0	ENSGALG00000008866
Cluster-59011.0	ENSGALG00000026498
Cluster-59039.0	ENSGALG00000004085
Cluster-59043.0	ENSGALG00000009385
Cluster-59057.0	ENSGALG00000004297
Cluster-59061.0	ENSGALG00000023906
Cluster-59061.1	ENSGALG00000023906
Cluster-59074.0	ENSGALG00000000681
Cluster-59075.0	ENSGALG00000026718
Cluster-59090.0	ENSGALG00000028033
Cluster-59090.1	ENSGALG00000028033
Cluster-59096.0	ENSGALG00000000739
Cluster-59099.0	ENSGALG00000006773
Cluster-59107.0	ENSGALG00000006240
Cluster-59122.0	ENSGALG00000026349
Cluster-59128.0	ENSGALG00000022974
Cluster-59132.0	ENSGALG00000008465
Cluster-59135.0	ENSGALG00000023190
Cluster-59141.0	ENSGALG00000005791
Cluster-59145.0	ENSGALG00000026462
Cluster-59146.0	ENSGALG00000006221
Cluster-59147.0	ENSGALG00000026498
Cluster-59149.0	ENSGALG00000012464
Cluster-59149.1	ENSGALG00000012464
Cluster-59149.2	ENSGALG00000012464
Cluster-59155.0	ENSGALG00000018803
Cluster-59170.0	ENSGALG00000015525
Cluster-59176.0	ENSGALG00000013925
Cluster-59176.1	ENSGALG00000013925
Cluster-59190.0	ENSGALG00000016141
Cluster-59196.1	ENSGALG00000016611
Cluster-59202.0	ENSGALG00000020716
Cluster-59202.1	ENSGALG00000020716
Cluster-59214.0	ENSGALG00000009067
Cluster-59219.1	ENSGALG00000009925
Cluster-59222.1	ENSGALG00000006343
Cluster-59222.2	ENSGALG00000006343
Cluster-59222.3	ENSGALG00000006343
Cluster-59222.4	ENSGALG00000006343
Cluster-59224.0	ENSGALG00000009024
Cluster-59225.0	ENSGALG00000003253
Cluster-59226.0	ENSGALG00000009362
Cluster-59227.1	ENSGALG00000015413
Cluster-59229.0	ENSGALG00000028939
Cluster-59233.0	ENSGALG00000002546
Cluster-59234.0	ENSGALG00000004446
Cluster-59235.0	ENSGALG00000029178
Cluster-59235.1	ENSGALG00000029178
Cluster-59251.0	ENSGALG00000007113
Cluster-59253.0	ENSGALG00000009381
Cluster-59256.0	ENSGALG00000007909
Cluster-59259.0	ENSGALG00000008353
Cluster-59265.0	ENSGALG00000019436
Cluster-59274.0	ENSGALG00000000616
Cluster-59281.0	ENSGALG00000024486
Cluster-59282.0	ENSGALG00000013890
Cluster-59295.0	ENSGALG00000009032
Cluster-59297.0	ENSGALG00000002896
Cluster-59297.1	ENSGALG00000002896
Cluster-59297.2	ENSGALG00000002896
Cluster-59303.0	ENSGALG00000004223
Cluster-59305.0	ENSGALG00000013090
Cluster-59313.0	ENSGALG00000003863
Cluster-59315.0	ENSGALG00000002466
Cluster-59320.0	ENSGALG00000009131
Cluster-59326.0	ENSGALG00000010691
Cluster-59326.1	ENSGALG00000010691
Cluster-59330.0	ENSGALG00000005077
Cluster-59337.0	ENSGALG00000008906
Cluster-59346.0	ENSGALG00000004393
Cluster-59347.0	ENSGALG00000005511
Cluster-59359.0	ENSGALG00000001740
Cluster-59360.0	ENSGALG00000010122
Cluster-59365.0	ENSGALG00000016233
Cluster-59373.0	ENSGALG00000025902
Cluster-59375.0	ENSGALG00000015283
Cluster-59376.0	ENSGALG00000021362
Cluster-59382.0	ENSGALG00000016412
Cluster-59383.0	ENSGALG00000008166
Cluster-59385.0	ENSGALG00000027885
Cluster-59396.2	ENSGALG00000002336
Cluster-59398.0	ENSGALG00000002658
Cluster-59407.0	ENSGALG00000023279
Cluster-5942.0	ENSGALG00000026498
Cluster-59426.0	ENSGALG00000016428
Cluster-59430.0	ENSGALG00000028304
Cluster-59441.0	ENSGALG00000003914
Cluster-59448.0	ENSGALG00000005894
Cluster-59454.1	ENSGALG00000006805
Cluster-59460.0	ENSGALG00000001849
Cluster-59463.0	ENSGALG00000009544
Cluster-59468.0	ENSGALG00000028854
Cluster-59470.0	ENSGALG00000004322
Cluster-59477.0	ENSGALG00000019835
Cluster-59479.0	ENSGALG00000008359
Cluster-59481.0	ENSGALG00000000692
Cluster-59483.0	ENSGALG00000021589
Cluster-59486.0	ENSGALG00000012293
Cluster-59490.0	ENSGALG00000009437
Cluster-59495.0	ENSGALG00000012483
Cluster-59500.0	ENSGALG00000010044
Cluster-59503.0	ENSGALG00000011065
Cluster-5953.0	ENSGALG00000025825
Cluster-59539.1	ENSGALG00000015207
Cluster-5955.0	ENSGALG00000022896
Cluster-59560.0	ENSGALG00000006236
Cluster-59563.0	ENSGALG00000016299
Cluster-59567.0	ENSGALG00000014861
Cluster-59568.0	ENSGALG00000021273
Cluster-59570.0	ENSGALG00000007396
Cluster-59570.1	ENSGALG00000007396
Cluster-59582.0	ENSGALG00000008797
Cluster-59591.0	ENSGALG00000011190
Cluster-59600.0	ENSGALG00000008805
Cluster-59602.0	ENSGALG00000017148
Cluster-59606.0	ENSGALG00000012958
Cluster-59610.0	ENSGALG00000012407
Cluster-59613.0	ENSGALG00000005986
Cluster-59615.0	ENSGALG00000003073
Cluster-59617.0	ENSGALG00000026665
Cluster-59618.0	ENSGALG00000026702
Cluster-59628.0	ENSGALG00000000324
Cluster-59630.0	ENSGALG00000001048
Cluster-59632.0	ENSGALG00000027864
Cluster-59637.0	ENSGALG00000015042
Cluster-59641.0	ENSGALG00000003706
Cluster-59658.1	ENSGALG00000011164
Cluster-59671.0	ENSGALG00000009896
Cluster-59672.0	ENSGALG00000009042
Cluster-59679.0	ENSGALG00000026498
Cluster-59699.0	ENSGALG00000001728
Cluster-59712.0	ENSGALG00000002298
Cluster-59720.0	ENSGALG00000003845
Cluster-59728.0	ENSGALG00000008359
Cluster-59729.0	ENSGALG00000010490
Cluster-59740.0	ENSGALG00000001009
Cluster-59742.0	ENSGALG00000020876
Cluster-59749.0	ENSGALG00000011127
Cluster-59753.0	ENSGALG00000012576
Cluster-59754.0	ENSGALG00000014634
Cluster-59755.0	ENSGALG00000015693
Cluster-59762.0	ENSGALG00000005938
Cluster-59775.0	ENSGALG00000015944
Cluster-59776.0	ENSGALG00000015195
Cluster-59777.0	ENSGALG00000014632
Cluster-59783.0	ENSGALG00000027980
Cluster-59796.0	ENSGALG00000016563
Cluster-59801.0	ENSGALG00000007196
Cluster-59819.0	ENSGALG00000017180
Cluster-59821.0	ENSGALG00000014813
Cluster-59830.0	ENSGALG00000028785
Cluster-59835.0	ENSGALG00000017304
Cluster-59835.1	ENSGALG00000017304
Cluster-59841.0	ENSGALG00000004614
Cluster-59843.0	ENSGALG00000009483
Cluster-59854.0	ENSGALG00000003699
Cluster-59855.0	ENSGALG00000028565
Cluster-59855.1	ENSGALG00000028565
Cluster-59866.0	ENSGALG00000007841
Cluster-59866.1	ENSGALG00000007841
Cluster-59870.0	ENSGALG00000005259
Cluster-59871.0	ENSGALG00000016254
Cluster-59883.0	ENSGALG00000004756
Cluster-59884.0	ENSGALG00000000644
Cluster-59896.0	ENSGALG00000004582
Cluster-59905.0	ENSGALG00000026780
Cluster-59908.0	ENSGALG00000006832
Cluster-5991.0	ENSGALG00000016475
Cluster-59919.0	ENSGALG00000027752
Cluster-59922.0	ENSGALG00000000994
Cluster-59922.1	ENSGALG00000000994
Cluster-59925.0	ENSGALG00000006202
Cluster-59952.0	ENSGALG00000004805
Cluster-59975.0	ENSGALG00000003258
Cluster-59976.0	ENSGALG00000018597
Cluster-59984.0	ENSGALG00000012321
Cluster-59988.0	ENSGALG00000008992
Cluster-59988.1	ENSGALG00000023920
Cluster-59989.0	ENSGALG00000016570
Cluster-60006.0	ENSGALG00000026498
Cluster-60029.0	ENSGALG00000028622
Cluster-6005.0	ENSGALG00000009670
Cluster-60051.0	ENSGALG00000017418
Cluster-60053.0	ENSGALG00000015598
Cluster-6006.0	ENSGALG00000001638
Cluster-60061.0	ENSGALG00000003472
Cluster-60066.0	ENSGALG00000011550
Cluster-60085.0	ENSGALG00000016133
Cluster-60086.0	ENSGALG00000025842
Cluster-60095.0	ENSGALG00000014453
Cluster-60097.0	ENSGALG00000004502
Cluster-60099.0	ENSGALG00000027868
Cluster-601.0	ENSGALG00000020002
Cluster-60103.0	ENSGALG00000011227
Cluster-60123.0	ENSGALG00000005936
Cluster-60128.0	ENSGALG00000000302
Cluster-60136.0	ENSGALG00000026498
Cluster-60139.0	ENSGALG00000003875
Cluster-60140.0	ENSGALG00000010718
Cluster-60144.0	ENSGALG00000001282
Cluster-60144.1	ENSGALG00000001282
Cluster-60156.0	ENSGALG00000016261
Cluster-60163.0	ENSGALG00000013005
Cluster-60163.1	ENSGALG00000013005
Cluster-60171.0	ENSGALG00000003415
Cluster-60172.0	ENSGALG00000023689
Cluster-60177.0	ENSGALG00000003539
Cluster-60184.0	ENSGALG00000014734
Cluster-60189.0	ENSGALG00000008407
Cluster-60190.0	ENSGALG00000024059
Cluster-60198.0	ENSGALG00000010187
Cluster-60198.1	ENSGALG00000010187
Cluster-60204.0	ENSGALG00000010434
Cluster-60204.1	ENSGALG00000010434
Cluster-60214.0	ENSGALG00000001666
Cluster-60217.0	ENSGALG00000009844
